2021-11-28 11:57:36: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2021-11-28 11:58:52: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2021-11-28 11:59:48: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2021-11-28 13:02:05: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2021-11-28 14:46:25: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-11 14:16:18: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-12 15:11:59: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-12 15:12:18: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-15 07:27:52: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-17 12:04:38: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-17 12:07:32: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-17 12:14:03: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-17 12:14:38: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-29 15:04:18: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-29 15:04:50: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-09-29 15:56:21: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-10-01 15:20:27: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-10-06 07:29:48: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2022-10-08 11:12:01: File C:\Users\Brend\OneDrive\Documents\GitHub\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-03-29 07:09:30: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-02 14:07:04: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-04 07:47:59: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-06 07:36:32: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-06 10:39:33: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-06 10:40:47: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-06 10:42:26: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-06 12:20:36: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-08 12:18:13: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
2025-06-14 07:36:50: File C:\Users\Brend\OneDrive\Documents\Home\WIP\trapit_python_tester\examples\colgroup/fantasy_premier_league_player_stats.csv, delimiter ',', column 6
